Country Code,Country Name,Region,Income Group,Is Aggregate
NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,Aggregates,true
NZL,New Zealand,East Asia & Pacific,High income,false
OED,OECD members,Aggregates,Aggregates,true
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,false
OSS,Other small states,Aggregates,Aggregates,true
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,false
PAN,Panama,Latin America & Caribbean,High income,false
PER,Peru,Latin America & Caribbean,Upper middle income,false
PHL,Philippines,East Asia & Pacific,Upper middle income,false
PLW,Palau,East Asia & Pacific,High income,false
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,false
POL,Poland,Europe & Central Asia,High income,false
PRE,Pre-demographic dividend,Aggregates,Aggregates,true
PRI,Puerto Rico (US),Latin America & Caribbean,High income,false
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,false
PRT,Portugal,Europe & Central Asia,High income,false
PRY,Paraguay,Latin America & Caribbean,Upper middle income,false
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,false
PSS,Pacific island small states,Aggregates,Aggregates,true
PST,Post-demographic dividend,Aggregates,Aggregates,true
PYF,French Polynesia,East Asia & Pacific,High income,false
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,false
ROU,Romania,Europe & Central Asia,High income,false
RRS,Resource rich Sub-Saharan Africa countries,Aggregates,Aggregates,true
RUS,Russian Federation,Europe & Central Asia,High income,false
RWA,Rwanda,Sub-Saharan Africa,Low income,false
SAS,South Asia,Aggregates,Aggregates,true
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,false
SDN,Sudan,Sub-Saharan Africa,Low income,false
SEN,Senegal,Sub-Saharan Africa,Lower middle income,false
SGP,Singapore,East Asia & Pacific,High income,false
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,false
SLE,Sierra Leone,Sub-Saharan Africa,Low income,false
SLV,El Salvador,Latin America & Caribbean,Upper middle income,false
SMR,San Marino,Europe & Central Asia,High income,false
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,false
SRB,Serbia,Europe & Central Asia,Upper middle income,false
SSA,Sub-Saharan Africa (excluding high income),Aggregates,Aggregates,true
SSD,South Sudan,Sub-Saharan Africa,Low income,false
SSF,Sub-Saharan Africa,Aggregates,Aggregates,true
SST,Small states,Aggregates,Aggregates,true
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,false
SUR,Suriname,Latin America & Caribbean,Upper middle income,false
SVK,Slovak Republic,Europe & Central Asia,High income,false
SVN,Slovenia,Europe & Central Asia,High income,false
SWE,Sweden,Europe & Central Asia,High income,false
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,false
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,false
SXZ,Sub-Saharan Africa excluding South Africa,Aggregates,Aggregates,true
SYC,Seychelles,Sub-Saharan Africa,High income,false
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,false
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,false
TCD,Chad,Sub-Saharan Africa,Low income,false
TEA,East Asia & Pacific (IDA & IBRD countries),Aggregates,Aggregates,true
TEC,Europe & Central Asia (IDA & IBRD countries),Aggregates,Aggregates,true
TGO,Togo,Sub-Saharan Africa,Lower middle income,false
THA,Thailand,East Asia & Pacific,Upper middle income,false
TJK,Tajikistan,Europe & Central Asia,Lower middle income,false
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,false
TLA,Latin America & the Caribbean (IDA & IBRD countries),Aggregates,Aggregates,true
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,false
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Aggregates,Aggregates,true
TON,Tonga,East Asia & Pacific,Upper middle income,false
TSA,South Asia (IDA & IBRD),Aggregates,Aggregates,true
TSS,Sub-Saharan Africa (IDA & IBRD countries),Aggregates,Aggregates,true
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,false
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,false
TUR,Turkiye,Europe & Central Asia,Upper middle income,false
TUV,Tuvalu,East Asia & Pacific,Upper middle income,false
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,false
UGA,Uganda,Sub-Saharan Africa,Low income,false
UKR,Ukraine,Europe & Central Asia,Upper middle income,false
UMC,Upper middle income,Aggregates,Aggregates,true
URY,Uruguay,Latin America & Caribbean,High income,false
USA,United States,North America,High income,false
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,false
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,false
VEN,"Venezuela, RB",Latin America & Caribbean,Lower middle income,false
VGB,British Virgin Islands,Latin America & Caribbean,High income,false
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,false
VNM,Viet Nam,East Asia & Pacific,Upper middle income,false
VUT,Vanuatu,East Asia & Pacific,Lower middle income,false
WLD,World,Aggregates,Aggregates,true
WSM,Samoa,East Asia & Pacific,Upper middle income,false
XKX,Kosovo,Europe & Central Asia,Upper middle income,false
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,Aggregates,Aggregates,true
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,false
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,false
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,false
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,false
